"CEPSA L-D: 07:00-22:00 0,740 e","CEPSA L-D: 07:00-22:00 0,740 e",-17.78703,28.66567,,,,
"CEPSA PUERTO DEL CARMEN L-D: 24H 0,746 e","CEPSA PUERTO DEL CARMEN L-D: 24H 0,746 e",-13.66636,28.92386,,,,
"LZ-505 Calle Juan Carlos I","LZ-505 Calle Juan Carlos I",-13.66624,28.92387,,,,
"CEPSA L-D: 07:00-00:00 0,733 e","CEPSA L-D: 07:00-00:00 0,733 e",-13.60781,28.95381,,,,
"CEPSA ARREC-AEROP.II L-D: 06:00-22:00 0,756 e","CEPSA ARREC-AEROP.II L-D: 06:00-22:00 0,756 e",-13.57175,28.95803,,,,
"LZ-2 Carretera De Arrecife A Yaiza","LZ-2 Carretera De Arrecife A Yaiza",-13.57642,28.95810,,,,
"LZ-2 Carretera De Arrecife A Yaiza","LZ-2 Carretera De Arrecife A Yaiza",-13.57011,28.95830,,,,
"CEPSA ARREC-AEROP. I L-D: 24H 0,740 e","CEPSA ARREC-AEROP. I L-D: 24H 0,740 e",-13.57539,28.95842,,,,
"CEPSA ARRECIFE L-D: 06:00-22:00 0,746 e","CEPSA ARRECIFE L-D: 06:00-22:00 0,746 e",-13.55242,28.96225,,,,
"CEPSA BARAMBIO L-D: 07:00-23:00 0,758 e","CEPSA BARAMBIO L-D: 07:00-23:00 0,758 e",-13.57078,28.97631,,,,
"CEPSA L-D: 24H 0,757 e","CEPSA L-D: 24H 0,757 e",-13.55847,28.97792,,,,
"Calle Garcia Escamez","Calle Garcia Escamez",-13.76273,28.95492,,,,
"CEPSA L: 08:00-22:00 0,733 e","CEPSA L: 08:00-22:00 0,733 e",-13.60378,28.95542,,,,
"CEPSA L-D: 24H 0,764 e","CEPSA L-D: 24H 0,764 e",-13.53439,28.97431,,,,
"CEPSA L-D: 07:00-23:00 0,764 e","CEPSA L-D: 07:00-23:00 0,764 e",-13.51594,28.98689,,,,
"CEPSA L-D: 06:30-23:00 0,744 e","CEPSA L-D: 06:30-23:00 0,744 e",-13.61411,29.01247,,,,
"CEPSA L-S: 07:00-23:30 0,902 e","CEPSA L-S: 07:00-23:30 0,902 e",-2.93681,35.26956,,,,
"CEPSA L-S: 07:00-23:00 0,902 e","CEPSA L-S: 07:00-23:00 0,902 e",-2.94317,35.26968,,,,
"CEPSA L-S: 08:00-23:00 0,902 e","CEPSA L-S: 08:00-23:00 0,902 e",-2.94111,35.28128,,,,
"CEPSA L-S: 07:30-23:30 0,902 e","CEPSA L-S: 07:30-23:30 0,902 e",-2.93381,35.29422,,,,
"CEPSA L-D: 24H 0,918 e","CEPSA L-D: 24H 0,918 e",-5.32292,35.88525,,,,
"CEPSA L-D: 24H 0,918 e","CEPSA L-D: 24H 0,918 e",-5.31258,35.88692,,,,
"CEPSA L-D: 24H 0,918 e","CEPSA L-D: 24H 0,918 e",-5.31944,35.88997,,,,
"CEPSA L-D: 24H 0,918 e","CEPSA L-D: 24H 0,918 e",-5.31956,35.89156,,,,
