"5015-Mercado de Moratalaz","-3,64464","40,40457"
"530-Narciso Serra","-3,67883","40,40503"
"549-Tirso de Molina","-3,70482","40,41238"
"571-Boadilla del Monte","-3,89613","40,41293"
"546-La Elipa","-3,65369","40,4227"
"5001-Castillo Uclés","-3,62894","40,42635"
"529-Rodriguez San Pedro","-3,70967","40,43169"
"538-Urquiza","-3,6459","40,43341"
"569-García Noblejas","-3,63522","40,43435"
"522-Galileo","-3,71011","40,43701"
"585-Canillejas","-3,61406","40,43873"
"514-Bravo Murillo","-3,70408","40,44356"
"5002-Suero Quiñones","-3,67509","40,44403"
"553-Cuatro Caminos","-3,70367","40,44911"
"565-Majadahonda","-3,86998","40,45376"
"5028-Tetuán","-3,69669","40,46325"
"518-Alcobendas","-3,65057","40,54146"
"519-Galapagar","-4,02594","40,62474"
"584-Villalba","-4,00731","40,6377"
"501-La Lastrilla","-4,09963","40,96422"
"480-Aranda de Duero","-3,68533","41,68554"
"469-Burgos Avd Madrid","-3,70194","42,32019"
"471-Burgos","-3,6777","42,36063"
"439-Torrelavega Ochos ????????????????","-4,03327","43,34299"
"424-Astillero ??????????????????","-3,84271","43,4119"
"411-Santander Cazoña","-3,85177","43,45548"
"491-La Albericia","-3,83585","43,4636"
"610-Adra","-2,99852","36,74795"
"668-Salobreña","-3,58605","36,74812"
"622-El Ejido","-2,80467","36,75863"
"655-Roquetas","-2,61372","36,77245"
"628-Almería Zapillo","-2,44757","36,83558"
"672-Almería Carretera Níjar","-2,43433","36,84537"
"643-Almería Arán","-2,4494","36,85667"
"675-Huercal de Almería","-2,44787","36,8734"
"659-Palacio de los Deportes","-3,59235","37,1518"
"601-Granada Amarilla","-3,60715","37,15805"
"616-Granada Almanjayar","-3,60429","37,19732"
"649-Vera","-1,8715","37,25368"
"647-Guadix","-3,14449","37,30698"
"674-Albox","-2,12927","37,3748"
"656-Huercal Overa","-1,95205","37,39918"
"323-Agilas","-1,58582","37,40917"
"602-Baza","-2,76342","37,49358"
"384-Mazarrón","-1,26594","37,57235"
"308-Cartagena Av América","-0,97555","37,60398"
"326-Cartagena Juan Carlos I","-1,00263","37,62697"
"348-Lorca","-1,69565","37,66634"
"3012-Los Alcázares","-0,84622","37,75857"
"365-San Javier","-0,82148","37,80191"
"383-San Pedro del Pinatar","-0,78769","37,84168"
"399-Orihuela La Zenia","-0,73461","37,92653"
"378-Orihuela Alameda","-0,72083","37,93833"
"3006-El Palmar","-1,15846","37,94227"
"3004-Alcantarilla","-1,22048","37,97489"
"330-Torrevieja","-0,68701","37,98928"
"645-Úbeda","-3,37994","38,01742"
"397-Caravaca de la Cruz","-1,85272","38,10501"
"306-Hellín","-1,70735","38,50632"
"935-Cieza","-1,41385","38,24128"
"366-Molina de Segura","-1,22021","38,06328"
"940-Molina de Segura - La Alcayna","-1,14977","38,07776"
"354-Murcia Zaraiche","-1,14354","37,99891"
"388-Murcia Molino Nelva","-1,11403","37,99332"
"3008-Murcia El Esparragal","-1,08474","38,04834"
"332-Orihuela Centro","-0,94957","38,08115"
"318-Crevillente","-0,80211","38,24802"
"3019-Almoradí","-0,78834","38,11501"
"398-Petrer","-0,78751","38,46815"
"373-Novelda","-0,76836","38,3829"
"945-Rojales","-0,7232","38,05085"
"347-Elche","-0,72211","38,25961"
"3001-Elche Dolores","-0,69736","38,25164"
"379-Torrevieja Aguas Nuevas","-0,67322","37,99452"
"390-San Fulgencio","-0,65711","38,11938"
"357-Guardamar","-0,65333","38,08361"
"387-Santa Pola","-0,54788","38,23363"
"369-San Vicente del Raspeig","-0,51777","38,39392"
"381-Gran Vía","-0,50417","38,353"
"374-Maestro Alonso","-0,48457","38,36607"
"339-El Pla","-0,47114","38,35827"
"394-Vía Parque","-0,442","38,36953"
"302-San Juan","-0,43426","38,39226"
"362-El Campello","-0,39228","38,42166"
"344-Finestrart","-0,17446","38,538"
"5013- Aranjuez Gonzalo Chacón","-3,60558","40,02067"
"562-Arganda del Rey","-3,45453","40,30409"
"594-Valdepeñas","-3,39033","38,7805"
"5027-Tarancón","-3,02131","40,01172"
"505-Tomelloso","-3,01498","39,17048"
"593-Villarobledo","-2,59312","39,27429"
"573-Cuenca","-2,14963","40,07769"
"3005-Albacete Imaginalia","-1,87826","39,00711"
"368-Almansa","-1,08644","38,86143"
"310-Lliria ctra. Valencia","-0,58531","39,62018"
"3011-Riba-roja","-0,55562","39,54209"
"944-La Pobla de Vallbona","-0,53082","39,58059"
"320-Alcudia","-0,50653","39,20268"
"331-Alcoi","-0,47638","38,68684"
"392-Picassent","-0,47207","39,36473"
"314-Aldaia","-0,46687","39,46665"
"333-Paterna","-0,44624","39,50093"
"311-Algemesí","-0,435","39,19849"
"324-Alzira","-0,42797","39,16204"
"363-Mislata (parking)","-0,41841","39,47264"
"346-Valencia Vara de Quart","-0,4047","39,45625"
"352-Alfafar","-0,3802","39,41788"
"335-Valencia Cno. Moncada","-0,38014","39,49341"
"949-Valencia Carrera Malilla (parking)","-0,37926","39,44906"
"328-Valencia Sagunto (entrada parking)","-0,37432","39,48639"
"3002-Valencia Orriols","-0,35905","39,49319"
"327-Valencia Puerto (entrada parking)","-0,3422","39,46301"
"396-Valencia Serreria","-0,33562","39,46516"
"937-Museros","-0,33285","39,56321"
"942-Sueca","-0,31913","39,20405"
"376-Cullera","-0,26212","39,17752"
"336-Sagunto","-0,23853","39,66837"
"393-La Vall d'Uixó","-0,21588","39,82162"
"340-Gandia","-0,1696","38,97219"
"309-Alquería de la Comtesa","-0,14706","38,93613"
"936-La Nucia","-0,12968","38,60365"
"349-Vila-Real","-0,10905","39,93347"
"319-Burriana","-0,09495","39,8849"
"316-Burriana","-0,0946","39,8845"
"367-Alfaz del Pi","-0,07538","38,57377"
"380-Castellon","-0,05303","39,97244"
"375-Castellon Castalia","-0,03913","39,99862"
"385-Castellon Caminas","-0,02066","39,9825"
"943-Vergel","-0,0036","38,8589"
"941-Benissa","0,06091","38,71941"
"939-Calpe Saladar","0,06212","38,6457"
"377-Benicasim","0,07035","40,0571"
"395-Dènia Les Madrigueres","0,09318","38,83851"
"391-Dènia Las Rotas","0,1113","38,83264"
"351-Jávea","0,1723","38,78886"
"280-Calvia","2,54012","39,53007"
"295-Son Fuster","2,67374","39,58679"
"281-Cardenal Rossell","2,69197","39,55572"
"361-Inca","2,91089","39,71126"
"2003-Alcúdia","3,12121","39,84044"
"2024-Felanitx Polígono","3,1395","39,46465"
"291-Manacor","3,21118","39,57794"
"932-Cala Millor","3,37688","39,59252"
"919-Capdepera","3,44512","39,70368"
"596- ?????????","-3,49213","40,39026"
"582-La Catalana","-3,59069","40,40545"
"510-Coslada Avd España","-3,55572","40,4206"
"557-Coslada","-3,53423","40,43063"
"597-Torrejón Loeches","-3,46724","40,4477"
"581- ?????????","-3,47112","40,45768"
"5030-Alcalá de Henares Avda. Madrid","-3,39288","40,47588"
"5014-Alcalá Atenea","-3,3671","40,50545"
"5029-Balconcillo Guadalajara","-3,18617","40,62939"
"502-El Alamín","-3,15593","40,63713"
"486-Soria","-2,4922","41,77065"
"474-Haro","-2,86032","42,56892"
"443-Miranda de Ebro","-2,94203","42,68151"
"408-Vitoria Armentia","-2,6982","42,83731"
"448-Domingo Beltran","-2,67699","42,85257"
"488-Vitoria Gamarra","-2,66099","42,86362"
"435-Arrasate (Mondragón)","-2,49809","43,04759"
"Almacén Vitoria","-2,97429","43,13343"
"405-Amorebieta","-2,74321","43,22574"
"482-Basauri","-2,87843","43,22997"
"433-Bilbao","-2,94461","43,25257"
"459-Bilbao Santutxu","-2,91797","43,25442"
"442-Bilbao Basurto","-2,94928","43,25794"
